asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.6324,,"(156.21606020058516, 114.39389528989341, 122.16562986519148)","(12.273530015949541, 17.236941833444977, 17.77107846088502)","(2.183963378527046, 1.7522438241785057, 1.7586265704505548)","(3.378812219372622, 1.7606320814269187, 1.676801913554522)","(151, 111, 120)",1
0.4167,,"(155.04102644478553, 120.63203391045681, 118.22050049237441)","(24.280432646392548, 25.87316039086142, 25.977218066485843)","(1.5292210744461319, 1.3326354054384988, 1.1499117034791415)","(1.2699394385969915, 0.6368301864896826, -0.15020217003698022)","(160, 120, 113)",
0.7039,,"(139.06915831640072, 103.8578529588267, 123.8808385283919)","(21.25517591041243, 25.620940302145232, 29.365050359085984)","(1.5673542341726876, 1.4767843430205798, 1.1944200610500668)","(1.1395215485842627, 0.8758728457798748, 0.06857175682435779)","(131, 91, 104)",1
0.8243,,"(155.422453294741, 108.70457874471322, 87.27031041611917)","(6.895846687426724, 8.688003905371394, 9.097334618187947)","(3.7270911713501493, 3.3911013134445467, 3.27676257192404)","(13.816847457951269, 11.368199838543006, 10.52518521710652)","(159, 117, 95)",
0.6606,,"(148.08389625216478, 117.34445217085158, 119.9875296617538)","(15.42571169325581, 23.15006211769364, 23.498908846844866)","(2.745535654690326, 2.046029850584425, 1.9300172283440742)","(6.522700426122531, 3.1455247163995637, 2.5432539742232114)","(151, 118, 121)",1
0.8023,,"(143.39650218955467, 99.94174034535536, 101.59558358308732)","(15.018637775799009, 22.231505771753426, 26.388594749965236)","(2.123248319859201, 1.735444979960186, 1.3910995772500647)","(3.0259911267176927, 2.4976341070791523, 1.1108260978926303)","(141, 82, 78)",
0.4966,,"(101.88502030854579, 60.89433211935102, 37.36234831891488)","(51.727733724566086, 41.56122956384372, 30.01639706060285)","(1.527185525976778, 1.610591235811226, 1.9880611565438455)","(2.0661565796474335, 1.8756285313097143, 3.084062141858947)","(164, 111, 6)",
0.747,,"(161.20328396542118, 135.56416291748064, 139.682959821258)","(29.82431927443274, 40.1742318623634, 40.73911012151316)","(0.9458484843081139, 0.3904446434594911, 0.31853278058374435)","(-0.5837105216529177, -1.4056668736469888, -1.488103306277021)","(147, 97, 100)",1
0.5257,,"(115.56779706035377, 62.10747411955708, 66.61034511935031)","(12.692209179851238, 16.64350023105015, 15.561474438166034)","(2.302099741275741, 1.4399186929010648, 1.665592189023875)","(3.7287635061679083, 0.23263969199855117, 1.0598633579865187)","(126, 46, 50)",
0.4302,,"(198.91911476029782, 156.391621414572, 159.82164722523885)","(8.049662473715971, 11.50247447932442, 11.299190706846556)","(3.4491939690610582, 2.6225219778668487, 2.7269960446863197)","(11.126032140192478, 5.6720990305623875, 6.449470606839883)","(200, 158, 155)",
0.6762,,"(150.6446199814236, 126.77161637778772, 123.92163984169747)","(10.684535618307939, 16.05170736481594, 16.098220200741434)","(2.813285168386871, 1.723537990901704, 1.8043101109410014)","(6.943739268541508, 1.3544907020953048, 1.7811854524791189)","(150, 127, 128)",
,,,,,,,
0.6223,,"(171.69940611863967, 124.84496998105897, 115.84021754769674)","(28.107804400166536, 30.010251453882017, 28.84236401552915)","(0.8844940508851357, 0.7459730537595591, 0.780313084519415)","(-0.9087152525527578, -1.0582647995569503, -0.937546523108538)","(162, 103, 100)",
0.5605,,"(201.53781847644132, 135.24915542155213, 128.30625175667228)","(17.23648266538265, 21.20756400894665, 21.178242322641886)","(1.7977950967938108, 1.5897027528163867, 1.615193611198241)","(1.7566882595062792, 1.2227939103120669, 1.2456571877557208)","(195, 131, 128)",
0.647,,"(172.61434533039937, 139.25338845821534, 119.6100012040406)","(26.11731330930407, 30.016586048748216, 28.179475198307642)","(0.9298906220366453, 0.7958911095748958, 0.8437604955852908)","(-0.8032010851224576, -0.8394570238481553, -0.8289142984737787)","(204, 104, 86)",
0.899,,"(124.87467349591361, 86.801878153904, 87.66983754024477)","(35.26118092613224, 39.393673609606545, 40.538769812411715)","(1.2892177082411984, 0.874775244106078, 0.8215509045306904)","(1.2399862921798768, -0.05554445917257178, -0.23275391436945414)","(86, 46, 47)",1
0.8008,,"(201.20393949962454, 184.14776789897587, 165.82907112817338)","(14.494928093805122, 18.98837749332491, 19.346206686437327)","(2.2713431685794436, 1.7816271762813434, 1.6696083939145525)","(4.448426717434348, 2.3112033304197936, 1.9104973991512209)","(187, 168, 149)",
0.6967,,"(135.40585723858612, 115.07893178697987, 115.30314682304629)","(13.479890190868772, 17.73043529995525, 17.80846352794895)","(2.3371083921057134, 2.3681752732183754, 2.5346020704724372)","(4.36942784436401, 4.553934237239855, 5.43096774830668)","(137, 125, 121)",
0.6494,,"(128.18764795099924, 95.63529775002826, 88.63045635362141)","(36.82045518052454, 38.546323805988514, 38.63131258496053)","(0.7385417090246683, 0.8393863011230387, 0.6861040044075227)","(-1.052758552743805, -0.8601867633077496, -1.0530249613056593)","(113, 77, 60)",
0.8555,,"(139.52970828791263, 78.24566214321112, 69.82394246816602)","(22.73501474121275, 26.47137194866842, 26.25792472356028)","(2.5784475113091196, 1.8294440592245564, 1.9476752129014772)","(5.60948656746517, 2.090373837074183, 2.662648425783524)","(136, 68, 62)",
0.6728,,"(162.78003124590032, 115.25591508025536, 98.8976697587641)","(16.074473840473065, 23.445307902999247, 26.272504071363652)","(2.675275467016269, 1.7479504932198295, 1.6425267322167219)","(6.359955635613586, 1.8735470364157871, 1.7783716050978544)","(155, 108, 90)",
0.289,,"(197.7867193465354, 111.40897389617749, 64.43629665765911)","(24.3975575821533, 24.219064971713344, 23.68495415394461)","(1.587592628381273, 1.6986698200156545, 1.747151101442309)","(1.288883030525123, 1.7592312870789986, 1.8988680135829048)","(199, 106, 65)",
0.795,,"(182.53999854271024, 99.30252698936238, 88.21066338701075)","(9.66597878771526, 19.88282146935658, 18.413749153894532)","(2.815849853304213, 1.3910615430058897, 1.6780911064907436)","(6.800867798338832, 0.2613238860244258, 1.251464783257787)","(182, 88, 94)",
0.888,,"(134.2411846769337, 83.06371426786609, 83.95529207056825)","(9.80519951531461, 12.83084520823804, 14.292871056727071)","(2.6841395186936627, 2.5355627192673267, 1.9141872504868471)","(5.867276445522018, 5.651066065984814, 2.1481179355863214)","(137, 78, 88)",
0.249,,"(207.60540029277263, 155.78417879072617, 164.34298032978722)","(10.16602610990222, 18.375252971112705, 18.258037175572465)","(2.7216614602083777, 1.6541653404224899, 1.6557439380886518)","(6.214053313809085, 1.221123079330395, 1.2056205031564646)","(208, 156, 164)",
0.928,,"(68.26741211325862, 53.61046670822543, 41.02701511404484)","(15.114328128135394, 11.76774798414621, 10.536501761490683)","(2.9692429778511022, 2.960502357446074, 3.298186681613298)","(8.271595655452716, 7.880451884582497, 10.054651254983739)","(56, 51, 39)",
0.7126,,"(96.15145809439491, 97.47904233242662, 98.44257794220357)","(38.04660934258342, 38.06845281231379, 37.57296084751264)","(0.8241316452357518, 0.9083064917403476, 0.9057047483477949)","(-0.6647715769864693, -0.5379740889324465, -0.5483737602762293)","(64, 64, 67)",1
0.7641,,"(147.60682818854912, 91.99088153603589, 84.64409416831404)","(24.39847140575386, 26.684964741609722, 28.996776006490276)","(2.1803004467290266, 1.5147230771198088, 1.5358287151825643)","(4.282523813800788, 0.9175186324555669, 1.217047068420026)","(163, 93, 98)",
0.666,,"(147.817180734796, 99.99080136825523, 99.54252503107045)","(31.368756696936103, 34.61659374482913, 34.34690599927527)","(0.7729045718938303, 1.4027355540151096, 1.3724380744903537)","(-0.8517230083404828, 0.7546839232917635, 0.7633886587962406)","(134, 74, 67)",
0.8787,,"(172.68250654186022, 76.11838570173677, 81.58276494670827)","(23.17773608674503, 34.03560086325176, 34.88140534881057)","(1.8161696871527637, 1.245445126353234, 1.2728027282156678)","(1.9009346562529492, 0.3363597786155186, 0.6657208618827379)","(176, 66, 60)",
0.134,,"(119.21289773493754, 98.27908435331119, 87.16874448394628)","(16.85527124521983, 16.673035913894505, 14.881688046426689)","(1.6756858456299386, 1.857658449319472, 2.1930061950376953)","(1.312457478399386, 2.1650936215562373, 3.7684696969747558)","(129, 100, 87)",
0.6701,,"(155.43866975224228, 141.40394127808395, 142.265619956539)","(23.21879841327749, 25.96962128627779, 28.25445816617908)","(1.5201124447839054, 1.3567307595930953, 1.2199439299263428)","(1.0174581420682065, 0.4819389493054058, 0.08696531565407639)","(149, 136, 126)",1
0.1901,,"(121.35446232152754, 92.44001198625483, 85.0567377403786)","(43.89751164901472, 40.2881313048833, 40.256697416803114)","(0.635147549062372, 1.0140005610227119, 1.0039045976683891)","(-0.3819096185752082, -0.056188197143468344, -0.13582768439715487)","(69, 54, 47)",
0.7527,,"(194.76400009472854, 136.06204851920484, 113.09138843222172)","(31.511544586260296, 31.290907269677156, 24.396203091817206)","(1.9515310118120324, 1.8172112272904462, 1.8446238805602566)","(2.7578097570189586, 2.0788125393831454, 2.119756494793042)","(208, 143, 111)",
0.7434,,"(180.3100212255231, 126.48463978838117, 124.48006307673495)","(6.712059454413764, 14.578514926817295, 14.707668125608)","(3.2407580752253264, 1.8738809005298271, 1.8325057220908627)","(9.381768847505255, 2.104649827612276, 1.8065884703310227)","(180, 135, 136)",
0.8528,,"(229.69358291272147, 174.3748147186525, 169.92215946096803)","(14.356106810057021, 20.52333117630711, 21.34334654180082)","(2.3314567584727515, 1.423959354024876, 1.403106093608828)","(5.999596906911677, 0.5904080832213783, 0.5848335955337745)","(255, 174, 172)",
0.6055,,"(162.36144629902265, 95.76897659126553, 75.44457842428528)","(36.16154882829133, 33.75570820794577, 30.873721650006857)","(1.174925011862651, 1.4454148891949392, 1.4392996607762223)","(0.17939976689066794, 0.9150429714176349, 0.7937790699460976)","(149, 90, 65)",
0.7586,,"(197.44856002209804, 145.17988342519584, 107.64934389390692)","(17.783784298405184, 25.086392494643665, 28.393537137580726)","(2.8710477841637787, 1.8150694902445665, 1.4269619387137433)","(7.363281115404902, 2.1051767561766317, 0.6776076772542261)","(193, 148, 109)",
0.8256,,"(154.66320752805882, 115.99059471762666, 84.36409335328676)","(15.347980725175235, 17.843559849259524, 15.763261025027118)","(2.587595094727471, 2.06957842949584, 1.8889228361282284)","(5.497852793008807, 3.0043049952411724, 2.2390731291036134)","(156, 113, 81)",
0.2971,,"(175.23955652606674, 126.56823396128311, 112.52854190616927)","(15.95872470573959, 16.455461596985963, 17.98157471779925)","(1.9977708982779747, 2.163530666918274, 1.9631871602048205)","(2.4878032610756096, 3.4025872139100013, 2.3971471763360706)","(177, 126, 103)",
0.2205,,"(144.02726128644463, 106.28824221715695, 101.94224405370642)","(10.671533574703288, 17.258910985285063, 17.325050143408255)","(3.1967820887762666, 2.646240027014295, 2.586551786745279)","(9.482328804951607, 6.095130278352654, 5.698111129763751)","(143, 104, 101)",
,,,,,,,
0.4426,,"(156.41605565193458, 121.71720495979389, 129.04455222046818)","(7.56344193815721, 11.4023481228041, 9.543132480531067)","(3.411325265387073, 2.3701829915008856, 2.8893646041082843)","(10.98542453219709, 4.209634013838614, 7.4354890895357375)","(157, 123, 130)",
0.5503,,"(127.78603488260524, 80.43848722663279, 85.79643583670259)","(33.925385421796655, 34.919203160181496, 36.247096826197364)","(1.9571711100164024, 0.9955737456754016, 0.9736776469346513)","(3.381616980672179, 0.16812551858577374, 0.09652784205410647)","(152, 89, 91)",1
0.7777,,"(189.81485911848722, 171.0314468612778, 126.83333438175032)","(28.9993480557319, 34.01264271607677, 32.403153660919216)","(0.7996805179798775, 0.8288155944460843, 1.153111470675126)","(-0.7898584907933297, -0.5403223232775662, 0.3070513840452591)","(216, 143, 110)",
0.9076,,"(133.69085013984295, 95.33709567603728, 94.1862536045519)","(18.970288805537734, 23.506074563099478, 24.22511496897156)","(2.660583214263812, 1.877527065398914, 1.9108572022838977)","(6.6124748818925045, 1.9879251606735906, 2.122802804572518)","(131, 83, 98)",1
0.6353,,"(111.11899953594548, 85.9128681057773, 70.65853145145229)","(12.999439797550036, 9.443430038751751, 9.062185924236074)","(2.1098693764298515, 3.091567367508354, 3.192165997698134)","(3.0046097963893104, 8.833714646081111, 9.392280628151928)","(110, 85, 66)",
0.8511,,"(128.1859480643543, 65.15558634918852, 40.02252587662224)","(20.811920192773346, 21.758942908901403, 19.81693572591652)","(2.039513292508981, 2.4321251630371226, 2.7450953834835623)","(2.8533283070576063, 4.780842342945371, 6.865725090946377)","(121, 55, 32)",
0.8428,,"(151.42136818234098, 99.50972158233981, 67.13928264797323)","(41.001448454555806, 38.61119554303092, 34.068661264694576)","(0.38760847659995784, 0.6393154398435875, 0.8707366499266079)","(-1.2874533499113399, -1.0580883877781921, -0.691334125100187)","(161, 102, 65)",
0.2727,,"(181.1605679646127, 157.51852895804404, 157.06438846360106)","(13.82387299003238, 20.928628799854767, 22.067570558998007)","(2.144374780710283, 1.3987744841792271, 1.2829059041641249)","(3.299156690502371, 0.34245911365136594, 0.055893383489480364)","(186, 168, 165)",
,,,,,,,
0.6229,,"(190.41921788129912, 136.63658991701595, 151.48122567960854)","(11.88391120840798, 19.059589432593885, 20.850775591492287)","(3.959392855942461, 1.6650220928626758, 1.6090360001612007)","(19.228683342800842, 1.4172097431938981, 1.3627478847470398)","(186, 134, 145)",
0.852,,"(143.788905624873, 110.01789334740079, 116.21143140721779)","(21.581591652957226, 28.228903540945034, 30.01742240330416)","(1.9200237205806476, 1.7488637621175578, 1.5321708013673654)","(3.1720576670299314, 1.8819533304915002, 1.126955525745669)","(126, 93, 89)",
,,,,,,,
0.1195,,"(143.84086265251972, 107.63338115758961, 86.40460387937492)","(22.262521247651666, 17.16917867237819, 17.595381356914444)","(1.4467612581337337, 2.1248599298251856, 1.7398908964692905)","(1.1669429857189293, 3.867479405476706, 1.8853407441544228)","(149, 111, 80)",
0.1412,,"(239.94918467102616, 155.21236009768472, 136.41060107966405)","(13.210484553716134, 20.418826248322684, 22.99877287143523)","(5.322082529649707, 1.5819070628302676, 1.3118539766079935)","(43.051516518931045, 1.0562251696407952, 0.22469185200017838)","(255, 166, 139)",
0.5783,,"(163.18066996603375, 149.3691627083699, 159.41406536582326)","(27.629406647011205, 32.79281434182422, 30.38761594979684)","(1.1410334993092117, 1.1752353267559763, 0.9944532379906141)","(-0.15974358692902335, 0.05233420866005689, -0.622334164583191)","(175, 151, 135)",1
0.9272,,"(111.77023448315322, 113.38602207802069, 111.3388807502788)","(27.75585588204545, 34.527871591048914, 34.727073959306466)","(0.8612416447669009, 0.5849810989895333, 0.476569034802396)","(-0.8888981785066905, -1.129859940376095, -1.4475884723367625)","(137, 134, 131)",1
0.8439,,"(148.4901892146445, 110.50204503018176, 112.13011590996757)","(20.000918058977973, 17.58258166483965, 14.68835081596615)","(2.5175333084712714, 2.411459437152571, 2.304561595506773)","(5.314870287708382, 4.860612857867438, 4.154643035942955)","(159, 116, 112)",1
0.7642,,"(146.9161958076147, 80.8537564241542, 63.451378163924346)","(33.870151607777146, 23.315514679841666, 19.77429897867858)","(0.7382962012043077, 1.7772265060586658, 2.1088498706068877)","(-0.9685774784605745, 2.1002189346311777, 3.562105357056258)","(112, 64, 49)",
0.5511,,"(152.13912830343952, 133.37500365418805, 149.52214782259966)","(29.981663156795836, 32.748507026410614, 34.03774158398751)","(0.5431151503446499, 0.5622163516673377, 0.3959341687508138)","(-1.5214842146455, -1.2491376576230695, -1.5287696510256354)","(186, 110, 122)",1
0.7539,,"(115.93191641389421, 88.5480165456247, 104.1168219673782)","(23.28996959216496, 27.1382284321367, 32.2089087674453)","(1.7918836230764694, 1.6632360161438364, 1.549444688359361)","(2.6928963172352463, 1.8290304116816891, 1.6561509814290742)","(96, 72, 80)",1
0.9115,,"(165.56383199412085, 73.35926311150251, 62.99227012517804)","(18.840941895538588, 20.094635313692702, 18.33708332090623)","(1.8405707823440913, 1.8188512052378967, 1.951837489091325)","(2.1299909378553137, 2.1283563772703156, 2.839026298896833)","(168, 64, 64)",
0.9073,,"(154.0106181376666, 103.37089799194541, 92.46180450457541)","(21.481558758006372, 33.88174388566174, 42.252458453276645)","(1.8031552833208042, 1.0692590432664548, 1.3717837542172988)","(2.1545872738787315, -0.012208256450395805, 0.42718653364404524)","(141, 77, 59)",1
0.1835,,"(122.70933744031936, 103.74303455709014, 104.2714608264505)","(23.678050507395067, 27.846476392968093, 30.65296092639656)","(1.542503142749248, 1.2231983394643335, 1.070993430561768)","(1.12283566227703, 0.21297325764420272, -0.1547561233594923)","(127, 98, 94)",1
,,,,,,,
0.7804,,"(202.91624622414474, 95.18107473187501, 75.12022331021944)","(16.18493370888185, 33.307820113875366, 26.470998158403017)","(2.1591576821314526, 0.7074322357564332, 0.9886535028300573)","(3.288978608813343, -0.9594513338966792, -0.561363861331317)","(205, 103, 72)",1
0.5154,,,,,,,
0.7931,,"(195.50808685185984, 80.10480691467092, 67.98544780150769)","(21.676262056763957, 46.913438932988775, 42.377813490651796)","(2.097933983396952, 1.0058439095210197, 1.4950928450119627)","(4.5888060897087986, 0.5682225966374439, 1.8602208100215742)","(186, 50, 36)",
0.6377,,"(166.62919924648304, 102.59668548460468, 107.05846018876036)","(13.195393504119407, 22.228486510800728, 19.568603256964497)","(1.920139101653725, 1.4196099457763676, 1.5652106375249415)","(2.038597682163947, 0.36673553044831353, 0.8638510599300173)","(163, 91, 106)",
,,,,,,,
0.4393,,"(86.82290302550246, 50.69809941011954, 52.574344052995)","(21.504685442442106, 24.774419616478625, 23.732977737649744)","(1.948677744693127, 1.2853307984176257, 1.3114298324728237)","(3.0053600814416512, 0.2229423441809355, 0.18546344605493426)","(85, 39, 30)",1
0.9067,,"(215.79056618544928, 200.0049630109097, 205.9454386043326)","(8.597240861445737, 13.312490595070168, 13.603475616709646)","(3.044396802693447, 2.1519070000762914, 2.1081485489570717)","(8.232437612301526, 3.2515764073875326, 3.020503483590688)","(213, 198, 202)",
0.6886,,"(170.86245601054975, 101.77917977230322, 80.95112023022398)","(17.92564803375258, 23.826789117483063, 19.381697561178168)","(1.8295103379590436, 0.8924305369905916, 1.2556501548963486)","(2.139069372274708, -0.9902203127921312, -0.1362251085400792)","(186, 88, 76)",
0.117,,"(119.04571945822136, 66.06691836071695, 50.6470387641657)","(26.654030365914277, 25.03306574071511, 25.664982985867248)","(1.8329458232481044, 1.845705400729487, 1.7717304278548636)","(2.4014550059466435, 2.1309022072331913, 1.8179565161886337)","(111, 55, 40)",
0.6494,,"(135.90305038707902, 100.41003724555958, 95.08846762857183)","(18.753528041040806, 25.370880765188755, 25.852575656086508)","(1.3303010169918579, 0.9869555205335401, 0.969184848820907)","(0.0981681187266763, -0.6196014468702544, -0.6802414460660331)","(149, 82, 73)",
0.8856,,"(169.76855000505748, 114.1182219311122, 106.20453826451558)","(24.400755873599564, 28.847113239697087, 30.550529617979105)","(1.1508655602394533, 1.0031604791752802, 1.0071160059276256)","(-0.21191619465678357, -0.6272222621364647, -0.5657372487408852)","(175, 81, 78)",
0.6362,,"(200.66441171990664, 124.40963940253823, 101.55317081072826)","(13.346617211411925, 19.638041369461096, 19.090402638489763)","(2.6696843789305817, 1.819038342841068, 2.131972811325475)","(6.102960501004105, 1.9566145046477468, 3.4362330575232516)","(200, 124, 94)",
0.4092,,"(169.78662119748333, 108.39416977327346, 93.81823970097321)","(20.681120460957697, 22.755070272595034, 20.406034877847038)","(1.5598998110767355, 1.5157526020483967, 1.6935388240711888)","(0.939612943653616, 1.0295596378472949, 1.4571078660987498)","(167, 97, 88)",
0.8811,,"(107.06781133056575, 65.90127490308441, 69.85365344364254)","(38.294408369013105, 41.7897123030595, 42.86624321441195)","(0.7641657273011879, 1.3984046596425197, 1.3809798023322302)","(-0.7807368502362038, 1.3136463321940308, 1.3643848941332495)","(86, 0, 0)",1
0.6755,,"(240.09653089856147, 165.55702560351347, 178.61424022179563)","(20.779053535492398, 32.11409030824408, 34.838749511886924)","(5.5335738142059, 0.7248230657021305, 0.9287520936300114)","(34.9367987893685, -0.9403834239463778, -0.2898036107996349)","(255, 191, 200)",
,,"(157.61452591737907, 105.6430244445437, 91.40245894148393)","(15.942752562181225, 23.660276389082476, 27.310827627584697)","(2.4532943225904797, 1.805086843275756, 1.4697282865621148)","(5.166353024728753, 2.1366789858832984, 0.8492586668710156)","(161, 109, 95)",
0.6876,,"(157.39093990421316, 130.22338738636972, 127.89479957556978)","(11.58311067565301, 16.138383391758687, 15.719566814972351)","(3.1481522163030022, 2.5320289295629457, 2.7879093182791244)","(9.91331981493208, 5.46705021572971, 7.061479680406077)","(162, 137, 132)",
0.779,,"(145.5526981202638, 74.24110998213291, 58.01666776935599)","(34.86128928158054, 34.90872101228215, 34.01934249713418)","(0.9317279148855773, 1.1100591208341264, 1.6399810813856328)","(-0.27109769852922483, -0.3578610673755227, 1.4004327900957225)","(169, 78, 50)",
0.4008,,"(121.79695575315782, 87.04888819251937, 89.8328611671568)","(20.045584230084756, 28.784305293755924, 30.347266442612963)","(1.516231751306728, 1.1680044947374562, 1.555230044892445)","(0.7448306129556888, 0.055938926730438876, 1.5869963290622993)","(133, 63, 59)",1
0.6902,,"(154.78913763642777, 150.0146101110804, 152.85615358809446)","(20.456643661808542, 25.570430800415384, 27.838219177429846)","(1.707489660665965, 1.3447244954825885, 1.0195382188235689)","(1.7242903108707832, 0.6428112715984668, -0.37665092934911293)","(154, 153, 163)",1
0.6548,,"(148.99019887212853, 103.7935960940631, 88.57650834598462)","(21.729115912028103, 28.38228712821316, 32.61650887842685)","(1.4003998927170132, 0.9319554022613522, 0.6304214467687865)","(0.40694849405485867, -0.7708013245420187, -1.0879151841531525)","(139, 85, 80)",
0.8241,,"(164.9862540411782, 83.07596870933958, 70.14447615284735)","(33.9225916227057, 46.96331155427997, 44.775322624882094)","(0.9229002993614178, 0.8508720688244759, 1.2529606045069395)","(-0.2186950764045692, -0.6317405858769405, 0.34605726469116727)","(149, 64, 49)",
,,,,,,,
0.6344,,"(166.5719357459384, 90.32788566479576, 68.35528025254462)","(12.897471414781121, 16.149236407518327, 12.981445484382203)","(2.1452242812538738, 2.0788545341613647, 2.3695369271413314)","(3.225810853776898, 3.2287662737704377, 4.416617916571554)","(160, 80, 64)",
,,,,,,,
0.0292,,"(135.09513419560972, 102.64592256699689, 79.14448479122075)","(39.22715716556601, 32.81136483604466, 27.892586188017866)","(0.4080435918858441, 0.5546235345135601, 0.8029512843888007)","(-1.1664648701832778, -1.2708920112970392, -0.9666950273418911)","(165, 121, 87)",
0.8949,,"(188.79267081546914, 124.33899711124832, 124.41074496918009)","(25.61017451111394, 41.675388044638055, 44.229907701242176)","(4.669830673519127, 1.3119574005962602, 0.7530715381013073)","(28.07526095816179, 0.49497927999912283, -0.9833927843987609)","(186, 104, 93)",1
0.3505,,"(206.37344277108969, 131.15071971938232, 136.6811470506036)","(16.656236785047426, 33.918582374655365, 34.44396245794949)","(1.993497186212171, 0.9891151052390593, 0.8010487616134427)","(2.749051530746444, 0.11904005008883445, -0.5560636574329965)","(209, 125, 130)",
0.6882,,"(177.6925288896091, 145.21161511269383, 139.38505448422802)","(11.234980362561293, 14.157811321695274, 15.08793805643059)","(3.4000284424866623, 3.3237052536280274, 2.6445037075011886)","(11.505132541598254, 10.935576271779569, 6.340222350713258)","(173, 136, 134)",
0.7509,,"(139.14170974321314, 117.99953570117941, 121.29668862681137)","(4.428046611245483, 5.428393695321126, 5.905597631445055)","(4.2665380260802825, 3.816006567503844, 3.9106266830537355)","(17.358880674927416, 13.863491787627275, 14.907622186884282)","(141, 117, 123)",
,,,,,,,
0.6047,,"(172.22165199652954, 108.53509455985477, 79.5151594664676)","(12.657801625724236, 22.281137857251778, 19.58634464473481)","(2.6834829935714812, 1.9144715725602197, 2.1340565823435362)","(6.088944166898438, 2.5064888270428654, 3.365430987560573)","(173, 111, 81)",
0.8239,,"(122.59251634081284, 85.95080951782711, 71.97864150885516)","(25.918071788215112, 31.894594103012185, 33.19193964371049)","(1.3787464499668403, 1.0747057667995625, 0.7780496137996394)","(0.6091664921981108, 0.06937311967756976, -0.8742257225400909)","(110, 80, 56)",
,,,,,,,
0.826,,"(118.80629158965621, 90.47654246329694, 80.26821973212463)","(22.932670517221144, 18.6015517256679, 17.738958911905982)","(1.2577098481869744, 1.8344766479939758, 1.861457417026672)","(0.18928698669517585, 2.2727566235851766, 2.2810973677474244)","(113, 79, 68)",
0.7231,,"(102.50888207319076, 72.08508432369126, 61.329363708849996)","(23.403929981083273, 24.380658514617217, 23.565895690227414)","(2.0454204332911883, 1.5599596360303976, 1.5670600456312793)","(3.523907045815208, 1.2625458045313227, 1.3240636660910372)","(106, 65, 53)",
0.7404,,"(162.1526918981035, 91.83263960187105, 66.87190180170728)","(19.562353126387364, 20.47810613654166, 18.140586641776363)","(1.3896244981872756, 1.5900066896749103, 2.0460068141024506)","(0.27614401377340014, 1.0613763614301046, 2.949708302960003)","(159, 80, 64)",
0.7106,,"(147.20939440718575, 144.00523698398138, 147.91851626558855)","(8.464279135578684, 10.914163034377976, 12.905448426984295)","(2.724434073060465, 2.7519431218517063, 2.4014912304732636)","(6.315536934418976, 7.011488754404837, 4.820565894423142)","(145, 151, 158)",
,,,,,,,
0.6986,,"(142.7958015542781, 124.78340859925993, 130.51160120375425)","(17.870818422669917, 25.618334625606554, 26.147738813074486)","(1.726738446927498, 1.1729421963595184, 1.2695930363833812)","(1.5703329761532432, -0.1413315948086331, 0.23244300068134338)","(147, 135, 137)",1
0.8713,,"(105.41278839828738, 58.78546511815148, 45.208056444873364)","(14.249409131621144, 13.258532313017792, 12.426805726791748)","(2.4825926261156157, 2.649734427491739, 2.835226105998432)","(5.010889092539561, 5.952615435048902, 7.124481694484631)","(99, 56, 42)",
0.4728,,"(191.1546199822542, 165.8684700819531, 176.11349848441387)","(16.34207812862408, 21.594262019993955, 24.34572959468574)","(2.1725780474669594, 1.9351172584306233, 1.5376249649892266)","(3.7483559811814455, 2.8211550290867065, 1.3369492532132998)","(203, 176, 191)",1
0.8537,,"(166.48496552399592, 128.39106629649905, 107.49878399736917)","(11.393272052649152, 11.317961976616452, 13.63767236678534)","(2.538105642608304, 2.93984140955622, 2.3790073649149464)","(5.101953071436899, 7.967791599651978, 4.625912745446392)","(168, 127, 111)",
0.7967,,"(86.99246150468389, 77.53511988642276, 71.87058255740703)","(29.61122472753637, 22.903264762912062, 21.900253479348983)","(0.9151675560777447, 1.4440349243883592, 1.6052478863557462)","(-0.7350371567973597, 0.5663860335660647, 1.073533581871109)","(60, 73, 68)",1
0.6233,,"(149.8093464665326, 118.19066907302658, 132.44670684825724)","(8.333590449722378, 22.13042967542697, 24.174115929405247)","(2.8831534024858434, 1.849697358095297, 1.6745537169620208)","(6.967388697565381, 2.183745038007218, 1.2898846505732475)","(144, 112, 148)",1
0.9038,,"(186.85464066921122, 116.58155311939845, 89.90567606145123)","(17.68539294234931, 24.514678958213512, 23.11699309886123)","(2.1601622072534425, 1.2053539967055897, 1.638065033682395)","(3.378398165941836, -0.23822269944321528, 1.2119559644652025)","(186, 113, 75)",
0.8131,,"(166.93383165200794, 101.66725012324605, 96.22920052714835)","(20.197820068341127, 25.38524360631831, 26.670057261081393)","(2.0923758755026656, 1.1068281079758548, 1.0007232782035054)","(3.0197789027876283, -0.29244295039148405, -0.5711937996604695)","(169, 86, 80)",
0.67,,"(229.4049081678977, 170.34233543547725, 160.04616519689534)","(10.004745884828713, 20.949099766525734, 22.96290908296018)","(3.14596895315943, 1.8976801601646036, 1.3941634141023949)","(8.844529495060355, 2.7484377244307066, 0.6147459948996672)","(228, 181, 163)",
